variant,seed,popped_count,terminated,steps,simulation_time,target_switch_count,mean_target_dwell_time,last_target_index,runtime_sec,error
high_gain,25,0,True,1994,19.94,2,5.473333333333334,72,72.78584395407233,
high_gain,26,0,True,1780,17.8,5,2.38,78,78.97739813802764,
high_gain,27,0,True,1287,12.870000000000001,2,3.116666666666666,50,68.073772510048,
high_gain,28,0,True,1507,15.07,3,2.8875,3,67.4265062729828,
high_gain,29,0,True,1592,15.92,3,3.1,48,72.21665169205517,
high_gain,30,0,True,1681,16.81,3,3.3225000000000002,43,70.48433142004069,
high_gain,31,0,True,1462,14.620000000000001,4,2.2199999999999998,29,77.90271207096521,
high_gain,32,0,True,1406,14.06,1,5.2700000000000005,64,64.46948561794125,
high_gain,33,0,True,1636,16.36,2,4.28,58,66.9276699339971,
high_gain,34,0,True,1781,17.81,6,2.0414285714285714,25,83.17981712601613,
high_gain,35,0,True,1023,10.23,2,2.236666666666667,67,64.03237040294334,
high_gain,36,0,True,1056,10.56,5,1.1733333333333336,73,58.94394175207708,
high_gain,37,0,True,1977,19.77,2,5.416666666666667,66,86.9706840539584,
high_gain,38,0,True,1430,14.3,2,3.5933333333333337,22,66.41476362198591,
high_gain,39,0,True,1461,14.61,3,2.7725,19,77.73341736593284,
high_gain,40,0,True,1511,15.11,1,5.795,66,71.71078992402181,
high_gain,41,0,True,1658,16.580000000000002,3,3.265,4,66.99641142704058,
high_gain,42,0,True,1687,16.87,3,3.3375,58,75.5897192809498,
high_gain,43,0,True,1825,18.25,3,3.6825000000000006,34,79.08242145797703,
high_gain,44,0,True,1460,14.6,4,2.216,1,66.28639219899196,
high_gain,45,0,True,1306,13.06,7,1.1925,67,64.42096698505338,
high_gain,46,0,True,1133,11.33,4,1.562,44,62.71165870607365,
high_gain,47,0,True,1172,11.72,2,2.733333333333334,18,66.18578990700189,
high_gain,48,0,True,1726,17.26,4,2.748,37,76.70814656594303,
high_gain,49,0,True,2675,26.75,6,3.3185714285714285,42,85.17115420999471,
high_gain,50,0,True,995,9.950000000000001,3,1.6075,31,62.868792820954695,
high_gain,51,0,True,2206,22.06,5,3.09,82,86.50151757092681,
high_gain,52,0,True,1793,17.93,5,2.401666666666667,3,68.72602645400912,
high_gain,53,0,True,1242,12.42,4,1.78,38,65.1934855710715,
high_gain,54,0,True,2524,25.240000000000002,13,1.5514285714285714,88,93.32413743599318,
high_gain,55,0,True,1468,14.68,2,3.72,54,66.38585275691003,
high_gain,56,0,True,1416,14.16,4,2.128,83,72.03489196603186,
high_gain,57,0,True,984,9.84,3,1.5799999999999998,29,65.0131641109474,
high_gain,58,0,True,1731,17.31,4,2.758,36,76.12623821001034,
high_gain,59,0,True,1242,12.42,4,1.7799999999999998,42,67.4711995710386,
high_gain,60,0,True,1163,11.63,3,2.0275000000000003,45,66.67302870098501,
high_gain,61,0,True,1373,13.73,3,2.5525,6,61.01030605798587,
high_gain,62,0,True,1148,11.48,4,1.592,3,65.47411786206067,
high_gain,63,0,True,2744,27.44,9,2.3920000000000003,70,94.20685256493744,
